Titulo,Precio,Metros,Precio_m2,Ubicacion,Link,lat,lon
Casa en Venta en Kiktel,6700000.0,615.0,10894.31,Mérida,https://www.lamudi.com.mx/detalle/41032-73-dd7a962d55f5-747f-19b91aa-bd8a-75d3,20.9670759,-89.6237402
Casa en Venta en Kiktel,11900000.0,810.0,14691.36,Mérida,https://www.lamudi.com.mx/detalle/41032-73-97c669d33630-bc0e-19b9026-b374-70e1,20.966638770491258,-89.62418786292392
Lote / Terreno en Venta en Kiktel,895000.0,420.0,2130.95,Mérida,https://www.lamudi.com.mx/detalle/41032-73-3ba9ba694201-a73b-19b95ea-86e6-7237,20.96700227551138,-89.6234776923641
Casa en Condominio en Venta en Cholul,4150000.0,0.0,0.0,Cholul,https://www.lamudi.com.mx/detalle/41032-73-5e55c5141a7b-5c25-198102c-a52c-7922,21.045815183776334,-89.55185903080555
Casa en Venta en Montebello,7650000.0,399.0,19172.93,Centro,https://www.lamudi.com.mx/detalle/41032-73-e2bed0e07328-c0db-1976bb2-877b-767e,20.96735068750582,-89.62414730023093
Departamento en Venta en Temozon Norte,2440000.0,77.0,31688.31,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-f09f35e26622-630a-1997045-897c-70e6,21.065269183845967,-89.63413583516864
Departamento en Venta en Temozon Norte,2320000.0,66.0,35151.52,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-88d722732a1d-b939-1995e09-88d5-75a2,21.065712169669954,-89.6336109388897
Casa en Condominio en Venta en Cholul,2750000.0,100.0,27500.0,Cholul,https://www.lamudi.com.mx/detalle/41032-73-6aa5e1da50c2-c14d-19a467d-880f-7745,21.04599813532608,-89.55126877455744
Casa en Condominio en Venta en Komchen,2749000.0,130.0,21146.15,Mérida,https://www.lamudi.com.mx/detalle/41032-73-e0da4d27f620-ea75-19940e4-bcec-7244,20.966823181297972,-89.62391664068211
Casa en Venta en Komchen,3249000.0,177.0,18355.93,Mérida,https://www.lamudi.com.mx/detalle/41032-73-7b0678012904-3258-1998999-bd57-7258,20.966896461206943,-89.62342987042145
Casa en Venta en Industrial,7500000.0,0.0,0.0,Centro,https://www.lamudi.com.mx/detalle/41032-73-46fe15eeeaa9-bdb8-195eec1-a450-782c,20.96763733718633,-89.62361991186319
Departamento en Venta en Oncan,10699896.0,160.36,66724.22,Centro,https://www.lamudi.com.mx/detalle/41032-73-8ce9ce346b96-c8a3-198f14e-b1d9-71aa,20.967513506107053,-89.62415786191526
Departamento en Venta en San Antonio Cucul,7600000.0,161.0,47204.97,Centro,https://www.lamudi.com.mx/detalle/41032-73-552c4724e23e-6297-198f151-a01d-7d03,20.96803914676913,-89.62323038757775
Casa en Venta en Cholul,5150000.0,229.0,22489.08,Cholul,https://www.lamudi.com.mx/detalle/41032-73-3bd7eede9de8-845a-19636e0-b0fc-704c,21.045396241979518,-89.55127123053371
Casa en Venta en Cholul,5499000.0,272.0,20216.91,Cholul,https://www.lamudi.com.mx/detalle/41032-73-44218507707f-be31-19636f2-b0fc-704c,21.045144392130975,-89.55141774453257
Lote / Terreno en Venta en Cholul,1432213.0,286.0,5007.74,Cholul,https://www.lamudi.com.mx/detalle/41032-73-4c8e7206922a-54c5-196370b-b0fc-704c,21.0455816905888,-89.55183264985418
Lote / Terreno en Venta en Cholul,87602500.0,35041.0,2500.0,Cholul,https://www.lamudi.com.mx/detalle/41032-73-80692a8b9e79-8b01-196a688-a081-7e1b,21.04606685265505,-89.55186972778306
Casa en Venta en Cholul,8100000.0,300.0,27000.0,Cholul,https://www.lamudi.com.mx/detalle/41032-73-9876b27793d2-dca1-19ae9cd-a5c9-7126,21.045250933323047,-89.55144042551537
Casa en Venta en Cholul,4290000.0,179.0,23966.48,Cholul,https://www.lamudi.com.mx/detalle/41032-73-a36926ef2fce-214e-19b722e-8a35-79e1,21.045304109578403,-89.5519727533345
Casa en Venta en Cholul,5490000.0,360.0,15250.0,Cholul,https://www.lamudi.com.mx/detalle/41032-73-b724adf6246b-da6c-19b722c-a4ee-7a39,21.045564428799505,-89.55132154644993
Lote / Terreno en Venta en Cholul,7344000.0,72.0,102000.0,Cholul,https://www.lamudi.com.mx/detalle/41032-73-51c6b638b973-546a-197e7e8-9bf8-736e,21.04514193563569,-89.55209600595829
Casa en Venta en Cholul,5400000.0,230.0,23478.26,Cholul,https://www.lamudi.com.mx/detalle/41032-73-9c9212c2b8ee-7ead-19b4eb8-b9fb-7f82,21.045152743839566,-89.55166122138299
Casa en Venta en Tixcacal Opichen,2074000.0,93.0,22301.08,Mérida,https://www.lamudi.com.mx/detalle/41032-73-e0af4adf5ddf-460a-19b6a1f-be16-79f8,20.967001677133407,-89.62415020819617
Casa en Venta en Tixcacal Opichen,2678000.0,133.0,20135.34,Mérida,https://www.lamudi.com.mx/detalle/41032-73-b74d37744131-4060-19b6a1f-b141-7245,20.966677725436266,-89.62355803612205
Departamento en Venta en San Antonio Cucul,3100000.0,68.0,45588.24,Centro,https://www.lamudi.com.mx/detalle/41032-73-27271f307e0f-acbc-19b819b-9b63-717e,20.967734400502966,-89.62364068901687
Departamento en Venta en Revolución,6300000.0,213.0,29577.46,Mérida,https://www.lamudi.com.mx/detalle/41032-73-9ab696d54381-e20a-194c88f-875c-803c,20.966647006790573,-89.62376513294798
Casa en Venta en Temozon Norte,6415007.0,194.0,33067.05,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-12ae37468d91-4b19-5a5a8485-8b68-3e12,21.06504082134754,-89.63381146997612
Casa en Venta en Dzitya,3750000.0,176.0,21306.82,Mérida,https://www.lamudi.com.mx/detalle/41032-73-2f5920f3b5c-55dc-19a7b19-9f91-7a5b,20.966797094668486,-89.62338065572976
Departamento en Venta en Temozon Norte,2330000.0,53.0,43962.26,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-824423c65d2f-be56-199d637-be14-7ce5,21.06542348046323,-89.63354355300059
Departamento en Venta en Temozon Norte,3650000.0,180.65,20204.82,Centro,https://www.lamudi.com.mx/detalle/41032-73-f0cdfad0153d-16d1-196bd1d-9168-7acf,20.967527335048956,-89.62325412781962
Casa en Venta en Mérida Centro,7200000.0,326.0,22085.89,Mérida Centro,https://www.lamudi.com.mx/detalle/41032-73-353c37870385-662c-192ff94-b8c0-7ef9,20.96802477663037,-89.62347515094892
Casa en Condominio en Venta en Cholul,6580000.0,326.0,20184.05,Cholul,https://www.lamudi.com.mx/detalle/41032-73-d6ccee079bda-965b-1954a76-894a-7e12,21.04606024867478,-89.55166602497204
Departamento en Venta en Temozon Norte,2450000.0,65.0,37692.31,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-cfe47795911b-3a81-198f8c6-8497-7568,21.065764326871076,-89.63353713645621
Departamento en Venta en Temozon Norte,4000000.0,163.0,24539.88,Centro,https://www.lamudi.com.mx/detalle/41032-73-ba2eeac98aae-b98f-197005e-9445-72f1,20.968044239859292,-89.6236585755519
Lote / Terreno en Venta en Xcunyá,14070980.0,40202.0,350.01,Mérida,https://www.lamudi.com.mx/detalle/41032-73-f7911d9d2297-7f89-1970066-b16b-7d7f,20.96692206854771,-89.62420598146547
Departamento en Venta en Temozon Norte,2550000.0,83.0,30722.89,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-d17377e33681-3f51-1965fcf-9ceb-7aef,21.065875843386884,-89.6338175615563
Departamento en Venta en Temozon Norte,4379000.0,104.24,42008.83,Mérida,https://www.lamudi.com.mx/detalle/41032-73-b6d3f585f909-3a99-1976757-979e-7ed5,20.96750781266438,-89.62415340404729
Departamento en Venta en San Antonio Cucul,5900000.0,127.0,46456.69,Altabrisa,https://www.lamudi.com.mx/detalle/41032-73-ce934443a507-9e60-1f841650-8502-312a,21.018093431571188,-89.58586020146862
Casa en Venta en Chablekal,9000000.0,362.0,24861.88,Mérida,https://www.lamudi.com.mx/detalle/41032-73-cba6f76f1312-a1b6-19b0b45-9f80-7f1c,20.966927877641176,-89.62376378586464
Departamento en Venta en Temozon Norte,7200000.0,330.0,21818.18,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-d818808161f6-eca9-19b0602-ae21-76e6,21.065815222122154,-89.63384467235984
Departamento en Venta en Temozon Norte,2983725.0,75.0,39783.0,Centro,https://www.lamudi.com.mx/detalle/41032-73-f63ff661ce0d-59-19a4f39-b8c2-7ae5,20.96741032933359,-89.62323015510175
Casa en Venta en Mérida Centro,6950000.0,628.48,11058.43,Mérida Centro,https://www.lamudi.com.mx/detalle/41032-73-f39bd3de8286-6313-197240f-acb5-7846,20.967376678888492,-89.62392312712745
Casa en Venta en Yucatán Country Club,15500000.0,653.0,23736.6,Country Club,https://www.lamudi.com.mx/detalle/41032-73-6e014f0a32df-7536-1949371-bd53-7aab,21.080558226428245,-89.60069114812394
Casa en Venta en Dzitya,4000000.0,230.0,17391.3,Mérida,https://www.lamudi.com.mx/detalle/41032-73-cd75952891a1-d2c-196b80d-b167-7df0,20.96664827326909,-89.62343089364892
Casa en Venta en Cholul,5500000.0,446.0,12331.84,Cholul,https://www.lamudi.com.mx/detalle/41032-73-6fc49f3053dc-712d-198f159-a0e6-75ac,21.045278722155953,-89.55177828659104
Departamento en Venta en Oncan,14344173.0,216.7,66193.69,Centro,https://www.lamudi.com.mx/detalle/41032-73-eaca68c82f6-5e90-198f152-bcca-71e8,20.967168526470537,-89.62359544031312
Casa en Venta en Komchen,3134050.0,207.0,15140.34,Mérida,https://www.lamudi.com.mx/detalle/41032-73-6db3a0926085-6d2f-198f152-bb76-7a86,20.967315101480594,-89.6234025771109
Casa en Venta en Temozon Norte,7800000.0,324.32,24050.32,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-188dc0b2e873-f6fc-198f155-ab7b-7a96,21.065134571930447,-89.63335657195721
Casa en Venta en Dzitya,7600000.0,545.0,13944.95,Dzityá,https://www.lamudi.com.mx/detalle/41032-73-ebd2f5ac72e2-be22-198f14e-aedd-723e,21.05047917468023,-89.68090819766647
Departamento en Venta en San Antonio Cucul,6775893.0,122.68,55232.25,Centro,https://www.lamudi.com.mx/detalle/41032-73-918fde7ae984-6799-198f158-9e41-713d,20.967959053385044,-89.6237650383467
Departamento en Venta en San Antonio Cucul,5392550.0,95.18,56656.34,Centro,https://www.lamudi.com.mx/detalle/41032-73-b28aeafd72c4-bf2-198f158-8feb-7df5,20.967212022265937,-89.62332561181358
Casa en Venta en Mérida Centro,7990000.0,200.0,39950.0,Mérida Centro,https://www.lamudi.com.mx/detalle/41032-73-19d39582f829-c2e7-198f157-b762-76ad,20.96764327622361,-89.62380731030362
